text,label
a man becomes a friend whenever being loved he loves in return.,0
"character is that which reveals moral purpose, exposing the class of things a man chooses and avoids.",0
bad men are full of repentance.,0
"for we do not think that we know a thing until we are acquainted with its primary conditions or first principles, and have carried our analysis as far as its simplest elements.",0
philosophy can make people sick.,0
"democracy appears to be safer and less liable to revolution than oligarchy. for in oligarchies there is the double danger of the oligarchs falling out among themselves and also with the people; but in democracies there is only the danger of a quarrel with the oligarchs. no dissension worth mentioning arises among the people themselves. and we may further remark that a government which is composed of the middle class more nearly approximates to democracy than to oligarchy, and is the safest of the imperfect forms of government.",0
civil confusions often spring from trifles but decide great issues.,0
all men by nature desire knowledge.,0
"but is it just then that the few and the wealthy should be the rulers? and what if they, in like manner, rob and plunder the people, - is this just?",0
definition of tragedy: a hero destroyed by the excess of his virtues,0
"every rascal is not a thief, but every thief is a rascal.",0
"it is difficult to find happiness within oneself, but it is impossible to find it anywhere else.",0
a high degree of intellect tends to make a man unsocial.,0
it is difficult to keep quiet if you have nothing to do,0
"the assumption that animals are without rights, and the illusion that our treatment of them has no moral significance, is a positively outrageous example of western crudity and barbarity. universal compassion is the only guarantee of morality.",0
"i observed once to goethe that when a friend is with us we do not think the same of him as when he is away. he replied, ""yes! because the absent friend is yourself, and he exists only in your head; whereas the friend who is present has an individuality of his own, and moves according to laws of his own, which cannot always be in accordance with those which you form for yourself.",0
every man takes the limits of his own field of vision for the limits of the world.,0
"thus, the task is not so much to see what no one yet has seen, but to think what nobody yet has thought about that which everybody sees.",0
"pleasure is never as pleasant as we expected it to be and pain is always more painful. the pain in the world always outweighs the pleasure. if you don't believe it, compare the respective feelings of two animals, one of which is eating the other.",0
at the death of every friendly soul,0
arises from the feeling that there is,0
"to be alone is the fate of all great mindsa fate deplored at times, but still always chosen as the less grievous of two evils.",0
"however, for the man who studies to gain insight, books and studies are merely rungs of the ladder on which he climbs to the summit of knowledge. as soon as a rung has raised him up one step, he leaves it behind. on the other hand, the many who study in order to fill their memory do not use the rungs of the ladder for climbing, but take them off and load themselves with them to take away, rejoicing at the increasing weight of the burden. they remain below forever, because they bear what should have bourne them.",0
"there is not a grain of dust, not an atom that can become nothing, yet man believes that death is the annhilation of his being.",0
"human life, like all inferior goods, is covered on the outside with a false glitter; what suffers always conceals itself.",0
"just as one spoils the stomach by overfeeding and thereby impairs the whole body, so can one overload and choke the mind by giving it too much nourishment. for the more one reads the fewer are the traces left of what one has read; the mind is like a tablet that has been written over and over. hence it is impossible to reflect; and it is only by reflection that one can assimilate what one has read. if one reads straight ahead without pondering over it later, what has been read does not take root, but is for the most part lost.",0
"the highest, most varied and lasting pleasures are those of the mind.",0
we seldom speak of what we have but often of what we lack.,0
patriotism is the passion of fools and the most foolish of passions.,0
"truth that is naked is the most beautiful, and the simpler its expression the deeper is the impression it makes.",0
restlessness is the hallmark of existence.,0
"men best show their character in trifles, where they are not on their guard. it is in the simplest habits, that we often see the boundless egotism which pays no regard to the feelings of others and denies nothing to itself.",0
"because christian morality leaves animals out of account, they are at once outlawed in philosophical morals; they are mere 'things,' mere means to any ends whatsoever. they can therefore be used for vivisection, hunting, coursing, bullfights, and horse racing, and can be whipped to death as they struggle along with heavy carts of stone. shame on such a morality that is worthy of pariahs, and that fails to recognize the eternal essence that exists in every living thing, and shines forth with inscrutable significance from all eyes that see the sun!",0
"whoever wants his judgment to be believed, should express it coolly and dispassionately; for all vehemence springs from the will. and so the judgment might be attributed to the will and not to knowledge, which by its nature is cold.",0
"our moral virtues benefit mainly other people; intellectual virtues, on the other hand, benefit primarily ourselves; therefore the former make us universally popular, the latter unpopular.",0
the difficulty is to try and teach the multitude that something can be true and untrue at the same time.,0
"life to the great majority is only a constant struggle for mere existence, with the certainty of losing it at last.",0
"the scenes and events of long ago, and the persons who took part in them, wear a charming aspect to the eye of memory, which sees only the outlines and takes no note of disagreeable details. the present enjoys no such advantage, and so it always seems defective.",0
"the effect of music is so very much more powerful and penetrating than is that of the other arts, for these others speak only of the shadow, but music of the essence.",0
"to become indignant at [people's] conduct is as foolish as to be angry with a stone because it rolls into your path. and with many people the wisest thing you can do, is to resolve to make use of those whom you cannot alter.",0
"necessity is the constant scourge of the lower classes, ennui of the higher ones.",0
it is most important to allow the brain the full measure of sleep which is required to restore it; for sleep is to a man's whole nature what winding up is to a clock.,0
"it is with trifles, and when he is off guard, that a man best reveals his character.",0
"a man of business will often deceive you without the slightest scruple, but he will absolutely refuse to commit a theft.",0
"the ultimate foundation of honor is the conviction that moral character is unalterable: a single bad action implies that future actions of the same kind will, under similar circumstances, also be bad.",0
i've never known any trouble than an hour's reading didn't assuage.,0
"what makes people hard-hearted is this, that each man has, or fancies he has, as much as he can bear in his own troubles.",0
a good supply of resignation is of the first importance in providing for the journey of life.,0
to desire immortality for the individual is really the same as wanting to perpetuate an error forever.,0
the cause of laughter is simply the sudden perception of the incongruity between a concept and the real project.,0
"he who can see truly in the midst of general infatuation is like a man whose watch keeps good time, when all clocks in the town in which he lives are wrong. he alone knows the right time; what use is that to him?",0
"if a person is stupid, we excuse him by saying that he cannot help it; but if we attempted to excuse in precisely the same way the person who is bad, we should be laughed at.",0
my body and my will are one.,0
"the ordinary method of education is to imprint ideas and opinions, in the strict sense of the word, prejudices, on the mind of the child, before it has had any but a very few particular observations. it is thus that he afterwards comes to view the world and gather experience through the medium of those ready-made ideas, rather than to let his ideas be formed for him out of his own experience of life, as they ought to be.",0
"one can never read too little of bad, or too much of good books: bad books are intellectual poison; they destroy the mind. in order to read what is good one must make it a condition never to read what is bad; for life is short, and both time and strength limited.",0
"many undoubtedly owe their good fortune to the circumstance that they possess a pleasing smile with which they win hearts. yet these hearts would do better to beware and to learn from hamlet's tables that one may smile, and smile, and be a villain.",0
"in the blessings as well as in the ills of life, less depends upon what befalls us than upon the way in which it is met.",0
"it is only a man's own fundamental thoughts that have truth and life in them. for it is these that he really and completely understands. to read the thoughts of others is like taking the remains of someone else's meal, like putting on the discarded clothes of a stranger.",0
"there is no absurdity so palpable but that it may be firmly planted in the human head if you only begin to inculcate it before the age of five, by constantly repeating it with an air of great solemnity.",0
"thus also every keen pleasure is an error and an illusion, for no attained wish can give lasting satisfaction.",0
it is a clumsy experiment to make; for it involves the destruction of the very consciousness which puts the question and awaits the answer.,0
nothing in nature is by chance... something appears to be chance only because of our lack of knowledge.,0
"when a man is prey to his emotions, he is not his own master.",0
"the more clearly you understand yourself and your emotions, the more you become a lover of what is.",0
he who seeks equality between unequals seeks an absurdity.,0
academies that are founded at public expense are instituted not so much to cultivate men's natural abilities as to restrain them.,0
"hatred is increased by being reciprocated, and can on the other hand be destroyed by love.",0
big fish eat small fish with as much right as they have power.,0
indulge yourself in pleasures only in so far as they are necessary for the preservation of health.,0
"[believers] are but triflers who, when they cannot explain a thing, run back to the will of god; this is, truly, a ridiculous way of expressing ignorance.",0
let unswerving integrity be your watchword.,0
"i have made a ceaseless effort not to ridicule, not to bewail, not to scorn human actions, but to understand them.",0
sadness diminishes a man's powers,0
what everyone wants from life is continuous and genuine happiness.,0
"nature is satisfied with little; and if she is, i am also.",0
he who loves god cannot endeavor that god should love him in return.,0
"laws which prescribe what everyone must believe, and forbid men to say or write anything against this or that opinion, are often passed to gratify, or rather to appease the anger of those who cannot abide independent minds.",0
"further conceive, i beg, that a stone, while continuing in motion, should be capable of thinking and knowing, that it is endeavoring, as far as it can, to continue to move. such a stone, being conscious merely of its own endeavor and not at all indifferent, would believe itself to be completely free, and would think that it continued in motion solely because of its own wish. this is that human freedom, which all boast that they possess, and which consists solely in the fact, that men are conscious of their own desire, but are ignorant of the causes whereby that desire has been determined.",0
"the supreme mystery of despotism, its prop and stay, is to keep men in a state of deception, and with the specious title of religion to cloak the fear by which they must be held in check, so that they will fight for their servitude as if for salvation.",0
"the ultimate aim of government is not to rule, or restrain by fear, nor to exact obedience, but to free every man from fear that he may live in all possible security... in fact the true aim of government is liberty.",0
everything excellent is as difficult as it is rare.,0
everything in nature is a cause from which there flows some effect.,0
blessed are the weak who think that they are good because they have no claws.,0
god is the indwelling and not the transient cause of all things.,0
"the greatest secret of monarchic rule...is to keep men deceived and to cloak in the specious name of religion the fear by which they must be checked, so that they will fight for slavery as they would for salvation, and will think it not shameful, but a most honorable achievement, to give their life and blood that one man may have a ground for boasting.",0
"all is one (nature, god)",0
faith is nothing but obedience and piety.,0
"the more intelligible a thing is, the more easily it is retained in the memory, and counterwise, the less intelligible it is, the more easily we forget it.",0
"those who wish to seek out the cause of miracles and to understand the things of nature as philosophers, and not to stare at them in astonishment like fools, are soon considered heretical and impious, and proclaimed as such by those whom the mob adores as the interpreters of nature and the gods.",0
it is usually the case with most men that their nature is so constituted that they pity those who fare badly and envy those who fare well.,0
"fame has also this great drawback, that if we pursue it, we must direct our lives so as to please the fancy of men.",0
in the mind there is no absolute or free will.,0
"none are more taken in by flattery than the proud, who wish to be the first and are not.",0
"i have tried sedulously not to laugh at the acts of man, nor to lament them, nor to detest them, but to understand them.",0
"nothing in the universe is contingent, but all things are conditioned to exist and operate in a particular manner by the necessity of the divine nature.",0
"if men were born free, they would, so long as they remained free, form no conception of good and evil.",0
"in so far as the mind sees things in their eternal aspect, it participates in eternity.",0
them.,0
"many errors, of a truth, consist merely in the application of the wrong names of things.",0
".... we are a part of nature as a whole, whose order we follow.",0
men will find that they can ... avoid far more easily the perils which beset them on all sides by united action.,0
the order and connection of ideas is the same as the order and connection of things.,0
desire is the essence of a man.,0
"love is pleasure accompanied by the idea of an external cause, and hatred pain accompanied by the idea of an external cause.",0
he that can carp in the most eloquent or acute manner at the weakness of the human mind is held by his fellows as almost divine.,0
"emotion, which is suffering, ceases to be suffering as soon as we form a clear and precise picture of it.",0
"better that right counsels be known to enemies than that the evil secrets of tyrants should be concealed from the citizens. they who can treat secretly of the affairs of a nation have it absolutely under their authority; and as they plot against the enemy in time of war, so do they against the citizens in time of peace.",0
a man is as much affected pleasurably or painfully by the image of a thing past or future as by the image of a thing present.,0
"love or hatred towards a thing, which we conceive to be free, must, other things being similar, be greater than if it were felt towards a thing acting by necessity.",0
"only that thing is free which exists by the necessities of its own nature, and is determined in its actions by itself alone.",0
"men would never be superstitious, if they could govern all their circumstances by set rules, or if they were always favoured by fortune: but being frequently driven into straits where rules are useless, and being often kept fluctuating pitiably between hope and fear by the uncertainty of fortune's greedily coveted favours, they are consequently for the most part, very prone to credulity.",0
we learn from history that we do not learn from history,0
to be independent of public opinion is the first formal condition of achieving anything great.,0
to be aware of limitations is already to be beyond them.,0
what history teaches us is that neither nations nor governments ever learn anything from it.,0
the valor that struggles is better than the weakness that endures.,0
the more certain our knowledge the less we know.,0
"in a true tragedy, both parties must be right.",0
before the end of time will be the end of history. before the end of history will be the end of art.,0
"poverty in itself does not make men into a rabble; a rabble is created only when there is joined to poverty a disposition of mind, an inner indignation against the rich, against society, against the government.",0
"the learner always begins by finding fault, but the scholar sees the positive merit in everything.",0
"an idea is always a generalization, and generalization is a property of thinking. to generalize means to think.",0
genuine tragedy is a case not of right against wrong but of right against right - two equally justified ethical principles embodied in people of unchangeable will.,0
"america is therefore the land of the future, where, in the ages that lie before us, the burden of the world's history shall reveal itself.",0
"the history of the world is none other than the progress of the , consciousness of freedom.",0
beauty is merely the spiritual making itself known sensuously.,0
"all education is the art of making men ethical (sittlich), of transforming the old adam into the new adam.",0
"impatience asks for the impossible, wants to reach the goal without the means of getting there. the length of the journey has to be borne with, for every moment is necessary.",0
"it is solely by risking life that freedom is obtained; . . . the individual who has not staked his or her life may, no doubt, be recognized as a person; but he or she has not attained the truth of this recognition as an independent self-consciousness.",0
to make abstractions hold in reality is to destroy reality.,0
"philosophy is by its nature something esoteric, neither made for the mob nor capable of being prepared for the mob.",0
we learn from history that man can never learn anything from history.,0
"freedom is the fundamental character of the will, as weight is of matter... that which is free is the will. will without freedom is an empty word.",0
the people are that part of the state that does not know what it wants.,0
"we do not need to be shoemakers to know if our shoes fit, and just as little have we any need to be professionals to acquire knowledge of matters of universal interest.",0
world history is a court of judgment.,0
"the length of the journey has to be borne with, for every moment is necessary.",0
"the true is the whole. but the whole is nothing other than the essence consummating itself through its development. of the absolute it must be said that it is essentially a result, that only in the end is it what it truly is; and that precisely in this consists its nature, viz. to be actual, subject, the spontaneous becoming of itself.",0
"regarding history as the slaughter-bench at which the happiness of peoples, the wisdom of states, and the virtue of individuals have been victimized--the question involuntarily arises--to what principle, to what final aim these enormous sacrifices have been offered.",0
"the proofs of the existence of god are to such an extent fallen into discredit that they pass for something antiquated, belonging to days gone by.",0
"the bud disappears when the blossom breaks through, and we might say that the former is refuted by the latter; in the same way when the fruit comes, the blossom may be explained to be a false form of the plant's existence, for the fruit appears as its true nature in place of the blossom.",0
"the true courage of civilized nations is readiness for sacrifice in the service of the state, so that the individual counts as only one amongst many. the important thing here is not personal mettle but aligning oneself with the universal.",0
"the heart-throb for the welfare of humanity therefore passes into the ravings of an insane self-conceit, into the fury of consciousness to preserve itself from destruction; and it does this by expelling from itself the perversion which it is itself, and by striving to look on it and express it as something else.",0
"the catholics had been in the position of oppressors, and the protestants of the oppressed",0
"to him who looks upon the world rationally, the world in its turn presents a rational aspect. the relation is mutual.",0
"propounding peace and love without practical or institutional engagement is delusion, not virtue.",0
it strikes everyone in beginning to form an acquaintance with the treasures of indian literature that a land so rich in intellectual products and those of the profoundest order of thought.,0
"the people will learn to feel the dignity of man. they will not merely demand their rights, which have been trampled in the dust, but themselves will take them - make them their own.",0
"it is easier to discover a deficiency in individuals, in states, and in providence, than to see their real import and value.",0
children are potentially free and their life directly embodies nothing save potential freedom. consequently they are not things and cannot be the property either of their parents or others.,0
"when liberty is mentioned, we must always be careful to observe whether it is not really the assertion of private interests which is thereby designated.",0
it is because the method of physics does not satisfy the comprehension that we have to go on further.,0
"consequently, the sensuous aspect of art is related only to the two theoretical sensesof sight and hearing, while smell, taste, and touch remain excluded.",0
"once the state has been founded, there can no longer be any heroes. they come on the scene only in uncivilized conditions.",0
"the essence of the modern state is that the universal be bound up with the complete freedom of its particular members and with private well-being, that thus the interests of family and civil society must concentrate themselves on the state. it is only when both these moments subsist in their strength that the state can be regarded as articulated and genuinely organized.",0
"animals are in possession of themselves; their soul is in possession of their body. but they have no right to their life, because they do not will it.",0
the state is the divine idea as it exists on earth.,0
"in the case of various kinds of knowledge, we find that what in former days occupied the energies of men of mature mental ability sinks to the level of information, exercises, and even pastimes for children; and in this educational progress we can see the history of the world's culture delineated in faint outline.",0
"every philosophy is complete in itself and, like a genuine work of art, contains the totality. just as the works of apelles and sophocles, if raphael and shakespeare had known them, should not have appeared to them as mere preliminary exercises for their own work, but rather as a kindred force of the spirit, so, too reason cannot find in its own earlier forms mere useful preliminary exercises for itself.",0
"we assert then that nothing has been accomplished without interest on the part of the actors; and  if interest be called passion, inasmuch as the whole individuality, to the neglect of all other actual or possible interests and claims, is devoted to an object with every fibre of volition, concentrating all its desires and powers upon it  we may affirm absolutely that nothing great in the world has been accomplished without passion.",0
"the few assume to be the deputies, but they are often only the despoilers of the many.",0
we are what we are because we have been what we have been.,0
from error to error one discovers the entire truth.,0
two hallmarks of a healthy life are the abilities to love and to work. each requires imagination.,0
"when someone abuses me i can defend myself, but against praise i am defenceless.",0
not all men are worthy of love.,0
the meager satisfaction that man can extract from reality leaves him starving.,0
"it is not attention that the child is seeking, but love.",0
the only unnatural sexual behavior is none at all.,0
a woman should soften but not weaken a man.,0
"the psychoanalysis of individual human beings, however, teaches us with quite special insistence that the god of each of them is formed in the likeness of his father, that his personal relation to god depends on his relation to his father in the flesh and oscillates and changes along with that relation, and that at bottom god is nothing other than an exalted father.",0
when a love-relationship is at its height there is no room left for any interest in the environment; a pair of lovers are sufficient to themselves,0
"all giving is asking, and all asking is an asking for love.",0
"the news that reaches your consciousness is incomplete and often not to be relied on.... turn your eyes inward, look into your own depths, learn first to know yourself!",0
"perhaps the gods are kind to us, by making life more disagreeable as we grow older. in the end death seems less intolerable than the manifold burdens we carry",0
anxiety in children is originally nothing other than an expression of the fact they are feeling the loss of the person they love.,0
i cannot think of any need in childhood as strong as the need for a father's protection.,0
the virtuous man contents himself with dreaming that which the wicked man does in actual life.,0
the only shame in masturbation is the shame of not doing it well.,0
"philosophers stretch the meaning of words until they retain scarcely anything of their original sense. they give the name of ""god"" to some vague abstraction which they have created for themselves; having done so they can pose before all the world as deists, as believers of god, and they can even boast that they have recognized a higher, purer concept of god, notwithstanding that their god is not nothing more than an insubstantial shadow and no longer the mighty personality of religious doctrines.",0
religion originates in the child's and young mankind's fears and need for help. it cannot be otherwise.,0
whatever fosters the growth of civilization works at the same time against war.,0
"the doctor should be opaque to his patients and, like a mirror, should show them nothing but what is shown to him.",0
the first human who hurled an insult instead of a stone was the founder of civilization.,0
in mourning it is the world which has become poor and empty; in melancholia it is the ego itself.,0
"this transmissibility of taboo is a reflection of the tendency, on which we have already remarked, for the unconscious instinct in the neurosis to shift constantly along associative paths on to new objects.",0
"if a man has been his mother's undisputed darling he retains throughout life the triumphant feeling, the confidence in success, which not seldom brings actual success along with it.",0
"religion restricts the play of choice and adaptation, since it imposes equally on everyone its own path to the acquisition of happiness and protection from suffering. its technique consists in depressing the value of life and distorting the picture of the real world in a delusional manner - which presupposes an intimidation of the intelligence. at this price, by forcibly fixing them in a state of psychical infantilism and by drawing them into a mass-delusion, religion succeeds in sparing many people an individual neurosis. but hardly anything more.",0
sometimes a cigar is just a cigar.,0
"where questions of religion are concerned, people are guilty of every possible sort of dishonesty and intellectual misdemeanor.",0
when we share - that is poetry in the prose of life.,0
illusions commend themselves to us because they save us pain and allow us to enjoy pleasure instead. we must therefore accept it without complaint when they sometimes collide with a bit of reality against which they are dashed to pieces.,0
the world is no nursery.,0
at bottom god is nothing more than an exalted father.,0
"analogies, it is true, decide nothing, but they can make one feel more at home.",0
"man has, as it were, become a kind of prosthetic god. when he puts on all his auxiliary organs, he is truly magnificent; but those organs have not grown on him and they still give him much trouble at times.",0
the effect of the consolations of religion may be compared to that of a narcotic.,0
"it is no wonder if, under the pressure of these possibilities of suffering, men are accustomed to moderate their claims to happiness - just as the pleasure principle itself, indeed, under the influence of the external world, changed into the more modest reality principle -, if a man thinks himself happy merely to have escaped unhappiness or to have survived his suffering, and if in general the task of avoiding suffering pushes that of obtaining pleasure into the background.",0
"one... gets an impression that civilization is something which was imposed on a resisting majority by a minority which understood how to obtain possession of the means to power and coercion. it is, of course, natural to assume that these difficulties are not inherent in the nature of civilization itself but are determined by the imperfections of the cultural forms which have so far been developed.",0
[the child receives impressions like] a photographic exposure that can be developed after any interval of time and transformed into a picture.,0
"the dream unites the grossest contradictions, permits impossibilities, sets aside the knowledge that influences us by day, and exposes us as ethically and morally obtuse.",0
where such men love they have no desire and where they desire they cannot love,0
i do not in the least underestimate bisexuality... i expect it to provide all further enlightenment.,0
"to endure life remains, when all is said, the first duty of all living being illusion can have no value if it makes this more difficult for us.",0
"there is an intellectual function in us which demands unity, connection and intelligibility from any material, whether of perception or thought, that comes within its grasp; and if, as a result of special circumstances, it is unable to establish a true connection, it does not hesitate to fabricate a false one.",0
a string of reproaches against other people leads one to suspect the existence of a string of self-reproaches with the same content.,0
"when a man has once brought himself to accept uncritically all the absurdities that religious doctrines put before him and even to overlook the contradictions between them, we need not be greatly suprised at the weakness of his intellect.",0
"the rest of our enquiry is made easy because this god-creator is openly called father. psycho-analysis concludes that he really is the father, clothed in the grandeur in which he once appeared to the small child.",0
"the expectation that every neurotic phenomenon can be cured may, i suspect, be derived from the layman's belief that the neuroses are something quite unnecessary which have no right whatever to exist. whereas in fact they are severe, constitutionally fixed illnesses, which rarely restrict themselves to only a few attacks but persist as a rule over long periods throughout life.",0
"lead us, heavenly father, lead us o'er the world's tempestuous sea; guard us, guide us, keep us, feed us, for we have no help but thee.",0
"towards the outside, at any rate, the ego seems to maintain clear and sharp lines of demarcation. there is only one state -- admittedly an unusual state, but not one that can be stigmatized as pathological -- in which it does not do this. at the height of being in love the boundary between ego and object threatens to melt away. against all the evidence of his senses, a man who is in love declares that ""i"" and ""you"" are one, and is prepared to behave as if it were a fact.",0
sometimes people don't want to hear the truth because they don't want their illusions destroyed.,0
"to live is to suffer, to survive is to find some meaning in the suffering.",0
"whoever fights monsters should see to it that in the process he does not become a monster. and if you gaze long enough into an abyss, the abyss will gaze back into you.",0
no price is too high to pay for the privilege of owning yourself.,0
"insanity in individuals is something rare - but in groups, parties, nations and epochs, it is the rule.",0
"everything the state says is a lie, and everything it has it has stolen.",0
the snake which cannot cast its skin has to die. as well the minds which are prevented from changing their opinions; they cease to be mind.,0
man is the only animal that must be encouraged to live.,0
the secret of reaping the greatest fruitfulness and the greatest enjoyment from life is to live dangerously.,0
"it is not a lack of love, but a lack of friendship that makes unhappy marriages.",0
"to predict the behavior of ordinary people in advance, you only have to assume that they will always try to escape a disagreeable situation with the smallest possible expenditure of intelligence.",0
"the great man... is colder, harder, less hesitating, and without fear of 'opinion'; he lacks the virtues that accompany respect and 'respectability,' and altogether everything that is the 'virtue of the herd.' if he cannot lead, he goes alone... he knows he is incommunicable: he finds it tasteless to be familiar... when not speaking to himself, he wears a mask. there is a solitude within him that is inaccessible to praise or blame.",0
"the world is beautiful, but has a disease called man.",0
solitude makes us tougher towards ourselves and tenderer towards others. in both ways it improves our character.,0
"young people love what is interesting and odd, no matter how true or false it is. more mature minds love what is interesting and odd about truth. fully mature intellects, finally, love truth, even when it appears plain and simple, boring to the ordinary person; for they have noticed that truth tends to reveal its highest wisdom in the guise of simplicity.",0
the real question is: how much truth can i stand?,0
"the true man wants two things: danger and play. for that reason he wants woman, as the most dangerous plaything.",0
there are no beautiful surfaces without a terrible depth.,0
there is always some madness in love. but there is also always some reason in madness.,0
"there are horrible people who, instead of solving a problem, tangle it up and make it harder to solve for anyone who wants to deal with it. whoever does not know how to hit the nail on the head should be asked not to hit it at all.",0
"what is the truth, but a lie agreed upon.",0
you know a moment is important when it is making your mind go numb with beauty.,0
invisible threads are the strongest ties.,0
"the most spiritual men, as the strongest, find their happiness where others would find their destruction: in the labyrinth, in hardness against themselves and others, in experiments. their joy is self-conquest: asceticism becomes in them nature, need, and instinct. difficult tasks are a privilege to them; to play with burdens that crush others, a recreation. knowledge-a form of asceticism. they are the most venerable kind of man: that does not preclude their being the most cheerful and the kindliest.",0
"to learn to see- to accustom the eye to calmness, to patience, and to allow things to come up to it; to defer judgment, and to acquire the habit of approaching and grasping an individual case from all sides. this is the first preparatory schooling of intellectuality. one must not respond immediately to a stimulus; one must acquire a command of the obstructing and isolating instincts.",0
"for what purpose humanity is there should not even concern us: why you are here, that you should ask yourself: and if you have no ready answer, then set for yourself goals, high and noble goals, and perish in pursuit of them!",0
"he who obeys, does not listen to himself!",0
"no journey is too great,",0
"in revenge and in love, woman is more barbarous than man.",0
"people are always angry at anyone who chooses very individual standards for his life; because of the extraordinary treatment which that man grants to himself, they feel degraded, like ordinary beings.",0
"today as always, men fall into two groups: slaves and free men. whoever does not have two-thirds of his day for himself, is a slave, whatever he may be: a statesman, a businessman, an official, or a scholar.",0
"without music, life would be a mistake.",0
"all i need is a sheet of paper and something to write with, and then i can turn the world upside down.",0
"ultimately, it is the desire, not the desired, that we love.",0
what is evil?-whatever springs from weakness.,0
beware of spitting against the wind!,0
"deception, flattering, lying, deluding, talking behind the back, putting up a false front, living in borrowed splendor, wearing a mask, hiding behind convention, playing a role for others and for oneself -- in short, a continuous fluttering around the solitary flame of vanity -- is so much the rule and the law among men that there is almost nothing which is less comprehensible than how an honest and pure drive for truth could have arisen among them.",0
the voice of beauty speaks softly; it creeps only into the most fully awakened souls,0
"everyone needs a sense of shame, but no one needs to feel ashamed.",0
"there exists above the ""productive"" man a yet higher species.",0
for a tree to become tall it must grow tough roots among the rocks.,0
the man of knowledge must be able not only to love his enemies but also to hate his friends.,0
the growth of wisdom may be gauged exactly by the diminution of ill-temper.,0
most people are too stupid to act in their own interest,0
"the visionary lies to himself, the liar only to others.",0
it is the business of the very few to be independent; it is a privilege of the strong.,0
a moral system valid for all is basically immoral.,0
"marriage was contrived for ordinary people, for people who are capable of neither great love nor great friendship, which is to say, for most people--but also for those exceptionally rare ones who are capable of love as well as of friendship.",0
"shared joys make a friend, not shared sufferings.",0
what makes us heroic?--confronting simultaneously our supreme suffering and our supreme hope.,0
he who asks a question is a fool for a minute; he who does not remains a fool forever.,0
"i can always choose, but i ought to know that if i do not choose, i",0
am still choosing.,0
i hate victims who respect their executioners.,0
"everything has been figured out, except how to live.",0
your judgement judges you and defines you,0
"slipped out of the world, somewhere else like the soul of a dead man. perhaps he was only a dream...god is dead.",0
nothingness haunts being.,0
to choose not to choose is still to act.,0
death is a continuation of my life without me.,0
"in a word, man must create his own essence: it is in throwing himself into the world, suffering there, struggling there, that he gradually defines himself.",0
"imagination is not an empirical or superadded power of consciousness, it is the whole of consciousness as it realizes its freedom.",0
"i am no longer sure of anything. if i satiate my desires, i sin but i deliver myself from them; if i refuse to satisfy them, they infect the whole soul.",0
"to believe is to know you believe, and to know you believe is not to believe.",0
"the more one is absorbed in fighting evil, the less one is tempted to place the good in question.",0
my thought is me: that's why i can't stop. i exist because i think,0
acting is a question of absorbing other people's personalities and adding some of your own experience.,0
she believed in nothing; only her skepticism kept her from being an atheist.,0
and without resignation either. he stares at death with passionate attention and this fascination liberates him. he experiences the divine irresponsibility of the condemned man.,0
"it disturbs me no more to find men base, unjust, or selfish than to see apes mischievous, wolves savage, or the vulture ravenous.",0
"every human endeavor, however singular it seems, involves the whole human race.",0
