text,label
"I am so proud of my daughter Ivanka. To be abused and treated so badly by the media, and to still hold her head so high, is truly wonderful!",1
Having a great time hosting Prime Minister Shinzo Abe in the United States! https://t.co/Fvjsac89qS... https://t.co/hKqbMB2aQ9,1
"Melania and I are hosting Japanese Prime Minister Shinzo Abe and Mrs. Abe at Mar-a-Lago in Palm Beach, Fla. They are a wonderful couple!",1
"...design or negotiations yet. When I do, just like with the F-35 FighterJet or the Air Force One Program, price will come WAY DOWN!",1
"I am reading that the great border WALL will cost more than the government originally thought, but I have not gotten involved in the.....",1
"""Our legal system is broken! """"77% of refugees allowed into U.S. since travel reprieve hail from seven suspect countries."""" (WT)  SO DANGEROUS!""",1
Heading to Joint Base Andrews on #MarineOne with Prime Minister Shinzō earlier today. https://t.co/4JFhyYdeHO,1
"""The failing @nytimes does major FAKE NEWS China story saying """"Mr.Xi has not spoken to Mr. Trump since Nov.14."""" We spoke at length yesterday!""",1
"""LAWFARE: """"Remarkably, in the entire opinion, the panel did not bother even to cite this (the) statute."""" A disgraceful decision!""",1
"SEE YOU IN COURT, THE SECURITY OF OUR NATION IS AT STAKE!",1
"Join us live in the Oval Office for the swearing in of our new Attorney General, @SenatorSessions!LIVE:... https://t.co/QeW6vjog4A",1
"""..Ryan died on a winning mission ( according to General Mattis), not a """"failure."""" Time for the U.S. to get smart and start winning again!""",1
"...long he doesn't know how to win anymore, just look at the mess our country is in - bogged down in conflict all over the place. Our hero..",1
Sen. McCain should not be talking about the success or failure of a mission to the media. Only emboldens the enemy! He's been losing so....,1
"""Chris Cuomo, in his interview with Sen. Blumenthal, never asked him about his long-term lie about his brave """"service"""" in Vietnam. FAKE NEWS!""",1
"Sen.Richard Blumenthal, who never fought in Vietnam when he said for years he had (major lie),now misrepresents what Judge Gorsuch told him?",1
"Congratulations to our new Attorney General, @SenatorSessions! https://t.co/e0buP1K83z",1
'Trump administration seen as more truthful than news media'https://t.co/6LmsR5JOSW,1
"'Majority in Leading EU Nations Support Trump-Style Travel Ban' Poll of more than 10,000 people in 10 countries...https://t.co/KWsIWhtC9o",1
'Immigration Ban Is One Of Trump's Most Popular Orders So Far' https://t.co/wAelwuQ4BE,1
"Thank you Brian Krzanich, CEO of @Intel. A great investment ($7 BILLION) in American INNOVATION and JOBS!... https://t.co/oicfDsPKHQ",1
"Big increase in traffic into our country from certain areas, while our people are far more vulnerable, as we wait for what should be EASY D!",1
'16 Fake News Stories Reporters Have Run Since Trump Won' https://t.co/0dHld5kiVc,1
RT @MichaelCohen212: I have never been to Prague in my life. #fakenews https://t.co/CMil9Rha3D,1
My daughter Ivanka has been treated so unfairly by @Nordstrom. She is a great person -- always pushing me to do the right thing! Terrible!,1
"Thank you to our great Police Chiefs &amp, Sheriffs for your leadership &amp, service. You have a true friend in the... https://t.co/Lysnv8ZR1h",1
"I will be speaking at 9:00 A.M. today to Police Chiefs and Sheriffs and will be discussing the horrible, dangerous and wrong decision.......",1
"If the U.S. does not win this case as it so obviously should, we can never have the security and safety to which we are entitled. Politics!",1
"It is a disgrace that my full Cabinet is still not in place, the longest such delay in the history of our country. Obstruction by Democrats!",1
"An honor having the National Sheriffs' Assoc. join me at the @WhiteHouse. Incredible men &amp, women who protect &amp, serv... https://t.co/1LkhbCNh8L",1
"I don't know Putin, have no deals in Russia, and the haters are going crazy - yet Obama can make a deal with Iran, #1 in terror, no problem!",1
"I don't know Putin, have no deals in Russia, and the haters are going crazy - yet Obama can make a deal with Iran, #1in terror, no problem!",1
"The threat from radical Islamic terrorism is very real, just look at what is happening in Europe and the Middle-East. Courts must act fast!",1
The failing @nytimes was forced to apologize to its subscribers for the poor reporting it did on my election win. Now they are worse!,1
An extended interview from the Super Bowl with @oreillyfactor airs tonight at 8:00 P.M. Enjoy! https://t.co/kZdHqaNTVR,1
"The failing @nytimes writes total fiction concerning me. They have gotten it wrong for two years, and now are making up stories &amp, sources!",1
Will be interviewed on @oreillyfactor tonight at 8:00 P.M.,1
"I call my own shots, largely based on an accumulation of data, and everyone knows it. Some FAKE NEWS media, in order to marginalize, lies!",1
"Any negative polls are fake news, just like the CNN, ABC, NBC polls in the election. Sorry, people want border security and extreme vetting.",1
Enjoy the #SuperBowl and then we continue: MAKE AMERICA GREAT AGAIN!,1
I will be interviewed by @oreillyfactor at 4:00 P.M. (prior to the #SuperBowl Pre-game Show) on Fox Network. Enjoy!,1
I have instructed Homeland Security to check people coming into our country VERY CAREFULLY. The courts are making the job very difficult!,1
Just cannot  believe a judge would put our country in such peril. If something happens blame him and court system. People pouring in. Bad!,1
The judge opens up our country to potential terrorists and others that do not have our best interests at heart. Bad people are very happy!,1
Interview with @oreillyfactor on Fox Network - 4:00 P.M. (prior to Super Bowl). Enjoy!,1
"Why aren't the lawyers looking at and using the Federal Court decision in Boston, which is at conflict with ridiculous lift ban decision?",1
"Because the ban was lifted by a judge, many very bad and dangerous people may be pouring into our country. A terrible decision",1
"What is our country coming to when a judge can halt a Homeland Security travel ban and anyone, even with bad intentions, can come into U.S.?",1
MAKE AMERICA GREAT AGAIN!,1
"After being forced to apologize for its bad and inaccurate coverage of me after winning the election, the FAKE NEWS @nytimes is still lost!",1
"The opinion of this so-called judge, which essentially takes law-enforcement away from our country, is ridiculous and will be overturned!",1
"Interesting that certain Middle-Eastern countries agree with the ban. They know if certain people are allowed in it's death &amp, destruction!",1
"When a country is no longer able to say who can, and who cannot , come in &amp, out, especially for reasons of safety &amp,.security - big trouble!",1
Countries charge U.S. companies taxes or tariffs while the U.S. charges them nothing or little.We should charge them SAME as they charge us!,1
"""We must keep """"evil"""" out of our country!""",1
A new radical Islamic terrorist has just attacked in Louvre Museum in Paris. Tourists were locked down. France on edge again. GET SMART U.S.,1
"Professional anarchists, thugs and paid protesters are proving the point of the millions of people who voted to MAKE AMERICA GREAT AGAIN!",1
"Meeting with biggest business leaders this morning. Good jobs are coming back to U.S., health care and tax bills are being crafted NOW!",1
Thank you to Prime Minister of Australia for telling the truth about our very civil conversation that FAKE NEWS media lied about. Very nice!,1
"""Iran is playing with fire - they don't appreciate how """"kind"""" President Obama was to them. Not me!""",1
"Yes, Arnold Schwarzenegger did a really bad job as Governor of California and even worse on the Apprentice...but at least he tried hard!",1
"Thank you, @Samsung! We would love to have you! https://t.co/r5nxC9oOA4",1
Iran was on its last legs and ready to collapse until the U.S. came along and gave it a life-line in the form of the Iran Deal: $150 billion,1
Iran has been formally PUT ON NOTICE for firing a ballistic missile.Should have been thankful for the terrible deal the U.S. made with them!,1
Attending Chief Ryan Owens' Dignified Transfer yesterday with my daughter Ivanka was my great honor. To a great and brave man - thank you!,1
Congratulations to Rex Tillerson on being sworn in as our new Secretary of State. He will be a star!,1
If U.C. Berkeley does not allow free speech and practices violence on innocent people with a different point of view - NO FEDERAL FUNDS?,1
Do you believe it? The Obama Administration agreed to take thousands of illegal immigrants from Australia. Why? I will study this dumb deal!,1
Iran is rapidly taking over more and more of Iraq even after the U.S. has squandered three trillion dollars there. Obvious long ago!,1
"Everybody is arguing whether or not it is a BAN. Call it what you want, it is about keeping bad people (with bad intentions) out of country!",1
"Hope you like my nomination of Judge Neil Gorsuch for the United States Supreme Court. He is a good and brilliant man, respected by all.",1
Join me live from the @WhiteHouse.https://t.co/LHOs4nAaGl,1
Getting ready to deliver a VERY IMPORTANT DECISION!  8:00 P.M.,1
When will the Democrats give us our Attorney General and rest of Cabinet! They should be ashamed of themselves! No wonder D.C. doesn't work!,1
Nancy Pelosi and Fake Tears Chuck Schumer held a rally  at the steps of The Supreme Court and mic did not work (a mess)-just like Dem party!,1
The Democrats are delaying my cabinet picks for purely political reasons. They have nothing going but to obstruct. Now have an Obama A.G.,1
"The American dream is back. We’re going to create an environment for small business like we haven’t had in many, ma... https://t.co/Bh7SrNEgz1",1
Where was all the outrage from Democrats and the opposition party (the media) when our jobs were fleeing our country?,1
I have made my decision on who I will nominate for The United States Supreme Court. It will be announced live on Tuesday at 8:00 P.M. (W.H.),1
"""If the ban were announced with a one week notice, the """"bad"""" would rush into our country during that week. A lot of bad """"dudes"""" out there!""",1
There is nothing nice about searching for terrorists before they can enter our country. This was a big part of my campaign. Study the world!,1
protesters and the tears of Senator Schumer. Secretary Kelly said that all is going well with very few problems. MAKE AMERICA SAFE AGAIN!,1
"Only 109 people out of 325,000 were detained and held for questioning. Big problems at airports were caused by Delta computer outage,.....",1
I will be interviewed by @TheBrodyFile on @CBNNews tonight at 11pm. Enjoy!,1
Statement Regarding Recent Executive Order Concerning Extreme Vetting: https://t.co/f6JO60I0Ul,1
"...Senators should focus their energies on ISIS, illegal immigration and border security instead of always looking to start World War III.",1
"The joint statement of former presidential candidates John McCain &amp, Lindsey Graham is wrong - they are sadly weak on immigration. The two...",1
Christians in the Middle-East have been executed in large numbers. We cannot allow this horror to continue!,1
"Our country needs strong borders and extreme vetting, NOW. Look what is happening all over Europe and, indeed, the world - a horrible mess!",1
Somebody with aptitude and conviction should buy the FAKE NEWS and failing @nytimes and either run it correctly or let it fold with dignity!,1
I will be interviewed by @TheBrodyFile on @CBNNews tonight at 11pm. Enjoy!,1
"Today, we remember the crew of the Space Shuttle Challenger, 31 years later. #NeverForget https://t.co/OhshQsFRfl",1
"...dwindling subscribers and readers.They got me wrong right from the beginning and still have not changed course, and never will. DISHONEST",1
Thr coverage about me in the @nytimes and the @washingtonpost gas been so false and angry that the times actually apologized to its.....,1
"The failing @nytimes has been wrong about me from the very beginning. Said I would lose the primaries, then the general election. FAKE NEWS!",1
I promise that our administration will ALWAYS have your back. We will ALWAYS be with you! https://t.co/D0aOWhOH4X,1
Congratulations Secretary Mattis! https://t.co/mkuhbegzqS,1
.@VP Mike Pence will be speaking at today's #MarchForLife -- You have our full support! https://t.co/1jb53SEGV4,1
The #MarchForLife is so important. To all of you marching --- you have my full support!,1
"Mexico has taken advantage of the U.S. for long enough. Massive trade deficits &amp, little help on the very weak border must change, NOW!",1
"Look forward to seeing final results of VoteStand. Gregg Phillips and crew say at least 3,000,000 votes were illegal. We must do better!",1
Miami-Dade Mayor drops sanctuary policy. Right decision. Strong! https://t.co/MtPvaDC4jM,1
Will be interviewed by @SeanHannity on @FoxNews at 10:00pm tonight. Enjoy!,1
"Spoke at the Congressional @GOP Retreat in Philadelphia, PA. this afternoon w/ @VP, @SenateMajLdr, @SpeakerRyan. Th... https://t.co/ALSADGrwoe",1
"Spoke at the Congressional @GOP Retreat in Philadelphia, PA. this afternoon w/ @VP, @SenMajLeader, @SpeakerRyan. Th... https://t.co/s4sTbSyBSR",1
"of jobs and companies lost. If Mexico is unwilling to pay for the badly needed wall, then it would be better to cancel the upcoming meeting.",1
The U.S. has a 60 billion dollar trade deficit with Mexico. It has been a one-sided deal from the beginning of NAFTA with massive numbers...,1
"Ungrateful TRAITOR Chelsea Manning, who should never have been released from prison, is now calling President Obama a weak leader. Terrible!",1
Interview with David Muir of @ABC News in 10 minutes. Enjoy!,1
"""""""@romoabcnews: .@DavidMuir first @POTUS interview since taking office.  Tonight on @ABCWorldNews @ABC2020 tonight. https://t.co/I4Vz1mRdBK""""""",1
"As your President, I have no higher duty than to protect the lives of the American people. https://t.co/o7YNUNwb8f",1
"Beginning today, the United States of America gets back control of its borders. Full speech from today @DHSgov:... https://t.co/8aDaHsAhg9",1
I will be interviewed by @DavidMuir tonight at 10 o'clock on @ABC. Will be my first interview from the White House.... https://t.co/4zuOrRdcoc,1
I will be making my Supreme Court pick on Thursday of next week.Thank you!,1
"even, those registered to vote who are dead (and many for a long time). Depending on results, we will strengthen up voting procedures!",1
"I will be asking for a major investigation into VOTER FRAUD, including those registered to vote in two states, those who are illegal and....",1
"Big day planned on NATIONAL SECURITY tomorrow. Among many other things, we will build the wall!",1
"""If Chicago doesn't fix the horrible """"carnage"""" going on, 228 shootings in 2017 with 42 killings (up 24% from 2016), I will send in the Feds!""",1
Congratulations to @FoxNews for being number one in inauguration ratings. They were many times higher than FAKE NEWS @CNN - public is smart!,1
Great meeting with Ford CEO Mark Fields and General Motors CEO Mary Barra at the @WhiteHouse today. https://t.co/T0eIgO6LP8,1
Signing orders to move forward with the construction of the Keystone XL and Dakota Access pipelines in the Oval Off... https://t.co/aOxmfO0vOK,1
"Great meeting with automobile industry leaders at the @WhiteHouse this morning. Together, we will #MAGA! https://t.co/OXdiLOkGsZ",1
A photo delivered yesterday that will be displayed in the upper/lower press hall. Thank you Abbas! https://t.co/Uzp0ivvRp0,1
Will be meeting at 9:00 with top automobile executives concerning jobs in America. I want new plants to be built here for cars sold here!,1
Busy week planned with a heavy focus on jobs and national security. Top executives coming in at 9:00 A.M. to talk manufacturing in America.,1
"Peaceful protests are a hallmark of our democracy. Even if I don't always agree, I recognize the rights of people to express their views.",1
"Wow, television ratings just out: 31 million people watched the Inauguration, 11 million more than the very good ratings from 4 years ago!",1
Watched protests yesterday but was under the impression that we just had an election! Why didn't these people vote? Celebs hurt cause badly.,1
"Had a great meeting at CIA Headquarters yesterday, packed house, paid great respect to Wall, long standing ovations, amazing people. WIN!",1
"""RT @WhiteHouse: """"Do not allow anyone to tell you that it cannot be done. No challenge can match the HEART and FIGHT and SPIRIT of America.""""...""",1
A fantastic day and evening in Washington D.C.Thank you to @FoxNews and so many other news outlets for the GREAT reviews of the speech!,1
"THANK YOU for another wonderful evening in Washington, D.C. TOGETHER, we will MAKE AMERICA GREAT AGAIN🇺🇸 https://t.co/V3aoj9RUh4",1
TO ALL AMERICANS🇺🇸https://t.co/D7Es6ie4fY,1
FAKE NEWS - A TOTAL POLITICAL WITCH HUNT!,1
"So to all Americans, in every city near and far, small and large, from mountain to mountain...https://t.co/cZKkrGXLSi",1
It is time to remember that...https://t.co/ZKyOiOor62,1
"We will follow two simple rules: BUY AMERICAN &amp, HIRE AMERICAN!#InaugurationDay #MAGA🇺🇸",1
We will bring back our jobs. We will bring back our borders. We will bring back our wealth - and we will bring back our dreams!,1
"The forgotten men and women of our country will be forgotten no longer. From this moment on, it’s going to be #AmericaFirst🇺🇸",1
"January 20th 2017, will be remembered as the day the people became the rulers of this nation again.",1
"What truly matters is not which party controls our government, but whether our government is controlled by the people.",1
"power from Washington, D.C. and giving it back to you, the American People. #InaugurationDay",1
"Today we are not merely transferring power from one Administration to another, or from one party to another – but we are transferring...",1
It all begins today! I will see you at 11:00 A.M. for the swearing-in. THE MOVEMENT CONTINUES - THE WORK BEGINS!,1
"Thank you for a wonderful evening in Washington, D.C. #Inauguration https://t.co/a6xpFQTHj5",1
"Thank you for joining us at the Lincoln Memorial tonight- a very special evening! Together, we are going to MAKE AM... https://t.co/OSxa3BamHs",1
Join me at 4pm over at the Lincoln Memorial with my family!#Inauguration2017 https://t.co/GQeQpJOgWz,1
"the American people. I have no doubt that we will, together, MAKE AMERICA GREAT AGAIN!",1
"Getting ready to leave for Washington, D.C. The journey begins and I will be working and fighting very hard to make it a great journey for..",1
"""""""It wasn't Donald Trump that divided this country, this country has been divided for a long time!"""" Stated today by Reverend Franklin Graham.""",1
Thank you to our amazing Wounded Warriors for their service. It was an honor to be with them tonight in D.C.... https://t.co/Qj5cpfaykD,1
Great seeing @TheLeeGreenwood  and Kimberly at this evenings VP dinner! #GodBlessTheUSA https://t.co/SxVmaWvOFT,1
"Looking forward to a speedy recovery for George and Barbara Bush, both hospitalized. Thank you for your wonderful letter!",1
"Writing my inaugural address at the Winter White House, Mar-a-Lago, three weeks ago. Looking forward to Friday.... https://t.co/J0ojOXjrga",1
.@TheAlabamaBand was great last night in D.C. playing for 147 Diplomats and Ambassadors from countries around the world. Thanks Alabama!,1
No wonder the Today Show on biased @NBC is doing so badly compared to its glorious past. Little credibility!,1
"""""""Bayer AG has pledged to add U.S. jobs and investments after meeting with President-elect Donald Trump, the latest in a string..."""" @WSJ""",1
"to the U.S., but had nothing to do with TRUMP, is more FAKE NEWS. Ask top CEO's of those companies for real facts. Came back because of me!",1
"Totally biased @NBCNews went out of its way to say that the big announcement from Ford, G.M., Lockheed &amp, others that jobs are coming back...",1
Will be interviewed by @ainsleyearhardt on @foxandfriends - Enjoy!,1
"""RT @EricTrump: Thank you to @GolfDigest for this incredible feature! """"Golfer-in-Chief"""" @RealDonaldTrump https://t.co/vpdY4jNbI4 https://t.c...""",1
"RT @MoskowitzEva: .@BetsyDeVos has the talent, commitment, and leadership capacity to revitalize our public schools and deliver the promise...",1
Thank you to General Motors and Walmart for starting the big jobs push back into the U.S.!,1
"""""""How Trump Won--And How The Media Missed It"""" https://t.co/Hfab41h65X""",1
"""""""thought it would be hypocritical to attend Bush's swearing-in....he doesn't believe Bush is the true elected president."""" Sound familiar! WP""",1
"""John Lewis said about my inauguration, """"It will be the first one that I've missed."""" WRONG (or lie)! He boycotted Bush 43 also because he...""",1
"""country and with the massive cost reductions I have negotiated on military purchases and more, I believe the people are seeing """"big stuff.""""""",1
"With all of the jobs I am bringing back into the U.S. (even before taking office), with all of the new auto plants coming back into our.....",1
"The same people who did the phony election polls, and were so wrong, are now doing approval rating polls. They are rigged just like before.",1
"People are pouring into Washington in record numbers. Bikers for Trump are on their way. It will be a great Thursday, Friday and Saturday!",1
"""""""@drgoodspine: @realDonaldTrump @Ivanka Trump is great, a woman with real character and class.""""""",1
"At 9:00 P.M. @CNN, of all places, is doing a Special Report on my daughter, Ivanka. Considering it is CNN, can't imagine it will be great!",1
"""""""@levisteveholt: @realDonaldTrump I appreciate your use of Twitter to keep us informed and maintain transparency."""" Very dishonest media!""",1
Celebrate Martin Luther King Day and all of the many wonderful things that he stood for. Honor him for being the great man that he was!,1
"much worse - just look at Syria (red line), Crimea, Ukraine and the build-up of Russian nukes. Not good! Was this the leaker of Fake News?",1
""".@FoxNews """"Outgoing CIA Chief, John Brennan, blasts Pres-Elect Trump on Russia threat. Does not fully understand."""" Oh really, couldn't do...""",1
".@NBCNews is bad but Saturday Night Live is the worst of NBC. Not funny, cast is terrible, always a complete hit job. Really bad television!",1
"""about that...Those Intelligence chiefs made a mistake here, &amp, when people make mistakes, they should APOLOGIZE."""" Media should also apologize""",1
"""Thank you to Bob Woodward who said, """"That is a garbage document...it never should have been presented...Trump's right to be upset (angry)...""",1
"For many years our country has been divided, angry and untrusting. Many say it will never change, the hatred is too deep. IT WILL CHANGE!!!!",1
"will only get higher. Car companies and others, if they want to do business in our country, have to start making things here again. WIN!",1
"My thoughts and prayers are with Pastor Brunson, and we hope to have him safely back home soon!",1
"The Democrats are most angry that so many Obama Democrats voted for me. With all of the jobs I am bringing back to our Nation, that number..",1
"Inauguration Day is turning out to be even bigger than expected. January 20th, Washington D.C. Have fun!",1
Congressman John Lewis should finally focus on the burning and crime infested inner-cities of the U.S. I can use all the help I can get!,1
"""INTELLIGENCE INSIDERS NOW CLAIM THE TRUMP DOSSIER IS """"A COMPLETE FRAUD!""""  @OANN""",1
"mention crime infested) rather than falsely complaining about the election results. All talk, talk, talk - no action or results. Sad!",1
"Congressman John Lewis should spend more time on fixing and helping his district, which is in horrible shape and falling apart (not to......",1
"A beautiful funeral today for a real NYC hero, Detective Steven McDonald. Our law enforcement community has my complete and total support.",1
"""The """"Unaffordable"""" Care Act will soon be history!""",1
have been allowed to run - guilty as hell. They were VERY nice to her. She lost because she campaigned in the wrong states - no enthusiasm!,1
What are Hillary Clinton's people complaining about with respect to the F.B.I. Based on the information they had she should never.....,1
"""released by """"Intelligence"""" even knowing there is no proof, and never will be. My people will have a full report on hacking within 90 days!""",1
"Totally made up facts by sleazebag political operatives, both Democrats and Republicans - FAKE NEWS! Russia says nothing exists. Probably...",1
It now turns out that the phony allegations against me were put together by my political opponents and a failed spy afraid of being sued....,1
"All of my Cabinet nominee are looking good and doing a great job. I want them to be themselves and express their own thoughts, not mine!",1
Congrats to the Senate for taking the first step to #RepealObamacare- now it's onto the House!,1
.@CNN is in a total meltdown with their FAKE NEWS because their ratings are tanking since election and their credibility will soon be gone!,1
Thank you to Linda Bean of L.L.Bean for your great support and courage. People will support you even more now. Buy L.L.Bean. @LBPerfectMaine,1
"James Clapper called me yesterday to denounce the false and fictitious report that was illegally circulated. Made up, phony facts.Too bad!",1
"""""""@zhu_amy3: @realDonaldTrump It's Morning in America again!!!  ☀️☀️☀️Thank you President-Elect Donald Trump!!! So proud of you!!!!"""" THANKS!""",1
We had a great News Conference at Trump Tower today. A couple of FAKE NEWS organizations were there but the people truly get what's going on,1
"""Intelligence agencies should never have allowed this fake news to """"leak"""" into the public. One last shot at me.Are we living in Nazi Germany?""",1
"""I win an election easily, a great """"movement"""" is verified, and crooked opponents try to belittle our victory with FAKE NEWS. A sorry state!""",1
"Russia has never tried to use leverage over me. I HAVE NOTHING TO DO WITH RUSSIA - NO DEALS, NO LOANS, NO NOTHING!",1
"""Russia just said the unverified report paid for by political opponents is """"A COMPLETE AND TOTAL FABRICATION, UTTER NONSENSE."""" Very unfair!""",1
'Trump Helps Lift Small Business Confidence to 12-Yr. High'https://t.co/MhbABREhzt https://t.co/CWAvJ4fRdx,1
'Small business optimism soars after Trump election' https://t.co/WjBaTp824U,1
'U.S. Small-Business Optimism Index Surges by Most Since 1980'https://t.co/X22x1BttdG,1
"Thank you to all of the men and women who protect &amp, serve our communities 24/7/365! #LawEnforcementAppreciationDay... https://t.co/aqUbDipSgv",1
An old picture with Nancy and Ronald Reagan. https://t.co/8kvQ1PzPAf,1
"Ford said last week that it will expand in Michigan and U.S. instead of building a BILLION dollar plant in Mexico. Thank you Ford &amp, Fiat C!",1
"It's finally happening - Fiat Chrysler just announced plans to invest $1BILLION in Michigan and Ohio plants, adding 2000 jobs. This after...",1
"""""""groveling"""" when he totally changed a 16 year old story that he had written in order to make me look bad. Just more very dishonest media!""",1
"""Hillary flunky who lost big. For the 100th time, I never """"mocked"""" a disabled reporter (would never do that) but simply showed him.......""",1
"Meryl Streep, one of the most over-rated actresses in Hollywood, doesn't know me but attacked last night at the Golden Globes. She is a.....",1
Rupert Murdoch is a great guy who likes me much better as a very successful candidate than he ever did as a very successful developer!,1
Dishonest media says Mexico won't be paying for the wall if they pay a little later so the wall can be built more quickly. Media is fake!,1
"Before I, or anyone, saw the classified and/or highly confidential hacking intelligence report, it was leaked out to @NBCNews. So serious!",1
"""RT @MeetThePress: Watch our interview with @KellyannePolls: Russia """"did not succeed"""" in attempts to sway election https://t.co/EZhgUIUbYx #...""",1
Kellyanne Conway went to @MeetThePress this morning for an interview with @chucktodd. Dishonest media cut out 9 of her 10 minutes. Terrible!,1
"""""""@FoxNews: """"We certainly don’t want intelligence interfering with politics and we don’t want politics interfe... https://t.co/bwDjEg1d7S""""""",1
"""""""@KellyannePolls: Welcome to President and Mrs. Bush.  https://t.co/I1K4nj1gVu"""" Very nice!""",1
"I look very much forward to meeting Prime Minister Theresa May in Washington in the Spring. Britain, a longtime U.S. ally, is very special!",1
"Congratulation to Jane Timken on her major upset victory in becoming the Ohio Republican Party Chair. Jane is a loyal Trump supporter &amp, star",1
"both countries will, perhaps, work together to solve some of the many great and pressing problems and issues of the WORLD!",1
"have enough problems around the world without yet another one. When I am President, Russia will respect us far more than they do now and....",1
"""Having a good relationship with Russia is a good thing, not a bad thing. Only """"stupid"""" people, or fools, would think that it is bad! We.....""",1
Only reason the hacking of the poorly defended DNC is discussed is that the loss by the Dems was so big that they are totally embarrassed!,1
Intelligence stated very strongly there was absolutely no evidence that hacking affected the election results. Voting machines not touched!,1
Gross negligence by the Democratic National Committee allowed hacking to take place.The Republican National Committee had strong defense!,1
Happy Birthday @EricTrump!https://t.co/bJaEY7qFSn,1
Monitoring the terrible situation in Florida. Just spoke to Governor Scott. Thoughts and prayers for all. Stay safe!,1
I am asking the chairs of the House and Senate committees to investigate top secret intelligence shared with NBC prior to me seeing it.,1
"Anna Wintour came to my office at Trump Tower to ask me to meet with the editors of Conde Nast &amp, Steven Newhouse, a friend. Will go this AM.",1
"being a movie star-and that was season 1 compared to season 14. Now compare him to my season 1. But who cares, he supported Kasich &amp, Hillary",1
"""Wow, the ratings are in and Arnold Schwarzenegger got """"swamped"""" (or destroyed) by comparison to the ratings machine, DJT. So much for....""",1
"Hopefully, all supporters, and those who want to MAKE AMERICA GREAT AGAIN, will go to D.C. on January 20th. It will be a GREAT SHOW!",1
and knew they were in big trouble - which is why they cancelled their big fireworks at the last minute.THEY SAW A MOVEMENT LIKE NEVER BEFORE,1
Hillary and the Dems were never going to beat the PASSION of my voters. They saw what was happening in the last two weeks before the......,1
"The dishonest media does not report that any money spent on building the Great Wall (for sake of speed), will be paid back by Mexico later!",1
So how and why are they so sure about hacking if they never even requested an examination of the computer servers? What is going on?,1
The Democratic National Committee would not allow the FBI to study or see its computer info after it was supposedly hacked by Russia......,1
"""How did NBC get """"an exclusive look into the top secret report he (Obama) was presented?"""" Who gave them this report and why? Politics!""",1
"Toyota Motor said will build a new plant in Baja, Mexico, to build Corolla cars for U.S. NO WAY! Build plant in U.S. or pay big border tax.",1
"""to make up their own minds as to the truth. The media lies to make it look like I am against """"Intelligence"""" when in fact I am a big fan!""",1
"The dishonest media likes saying that I am in Agreement with Julian Assange - wrong. I simply state what he states, it is for the people....",1
"...time for Republicans &amp, Democrats to get together and come up with a healthcare plan that really works - much less expensive &amp, FAR BETTER!",1
"""...do the typical political thing and BLAME. The fact is ObamaCare was a lie from the beginning.""""Keep you doctor, keep your plan!"""" It is....""",1
"The Democrats, lead by head clown Chuck Schumer, know how bad ObamaCare is and what a mess they are in. Instead of working to fix it, they..",1
"""Jackie Evancho's album sales have skyrocketed after announcing her Inauguration performance.Some people just don't understand the """"Movement""""""",1
massive increases of ObamaCare will take place this year and Dems are to blame for the mess. It will fall of its own weight - be careful!,1
